CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1M_School closing,C1M_Flag,C2M_Workplace closing,C2M_Flag,C3M_Cancel public events,C3M_Flag,C4M_Restrictions on gatherings,C4M_Flag,C5M_Close public transport,C5M_Flag,C6M_Stay at home requirements,C6M_Flag,C7M_Restrictions on internal movement,C7M_Flag,C8EV_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H6M_Flag,H7_Vaccination policy,H7_Flag,H8M_Protection of elderly people,H8M_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
Uganda,UGA,,,NAT_TOTAL,20221231,0,,2,1,2,1,0,,2,1,0,,0,,1,0,,0,,,2,1,3,0,,0,1,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,169985,3630,NV,27.43,38.44,35.68,40.78,0
Ukraine,UKR,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,,,1,1,2,1,,0,0,,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,5662732,118689,NV,38.17,8.33,24.48,20.83,50
Uruguay,URY,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,3,0,,0,1,1,5,1,3,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,1011988,7562,V,84.68,13.89,28.12,32.14,0
United States,USA,,,NAT_TOTAL,20221231,1,0,1,0,0,,0,,0,,1,0,1,1,1,0,,0,,,2,1,3,1,,,2,1,5,1,2,0,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,1,100765333,1092764,V,69.15,28.71,38.03,43.46,0
Uzbekistan,UZB,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,1,1,3,0,,0,1,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,249217,1637,V,51.14,5.56,17.19,19.64,0
Venezuela,VEN,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,3,0,,0,3,1,5,1,0,,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,550522,5832,V,52.88,13.89,25,28.57,0
United States Virgin Islands,VIR,,,NAT_TOTAL,20221231,0,,0,,1,1,2,1,0,,0,,0,,1,0,,0,,,2,1,3,2,,0,2,1,5,1,0,,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,23781,127,V,55.24,28.73,40.84,46.67,0
Vietnam,VNM,,,NAT_TOTAL,20221231,0,,1,1,1,1,1,1,0,,0,,0,,0,0,,0,,,2,1,3,2,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,11525231,43186,V,87.29,23.15,34.9,39.88,0
Vanuatu,VUT,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,0,0,,0,0,,5,1,0,,2,2,16-19 yrs,16-19 yrs,2,2,2,2,5,0,12013,14,NV,40.31,11.11,12.5,14.29,0
Yemen,YEM,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,0,,1,0,,0,0,,3,1,0,,1,1,,60-64 yrs,1,0,2,0,5,0,11945,2159,NV,2.25,0,5.83,6.67,0
South Africa,ZAF,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,1,1,0,,,2,1,3,0,,0,0,,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,4049202,102568,NV,35.13,11.11,21.88,21.43,25
Zambia,ZMB,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,3,0,,0,3,1,5,1,0,,2,1,5-15 yrs,5-15 yrs,1,0,0,0,5,0,334425,4024,NV,42.74,13.89,25,28.57,0
Zimbabwe,ZWE,,,NAT_TOTAL,20221231,1,1,2,1,1,1,0,,0,,0,,0,,1,0,,0,,,2,1,3,1,,0,3,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,259981,5637,NV,29.11,29.48,36.44,41.65,0
